9607CE0289013B069BFC90ABAFAC46A2|648|111
8732C544BC2CB6877922CD55B8236A5A|332|24
0223EFF428C49FB716193D7DD0C7BB8A|260|24
DAF406517248D6ECED512FDEC71F0030|648|129
BAE1E9EF937F84319A0CE8862AAE2077|648|129
0AAF88B7D4E36D8C6BF01778ED74A891|332|24
3D5B41665678B4B0B072253526906650|332|24
B3719830CC667B170780DFFD8B1DECD0|648|129
1FCBF979A6AD6E3CB79FCC4FADD6C3BD|648|129
4FDA0991F89A53F77483A37FACA0931C|332|24
686CCB67D556D003FB14CF2AA624606E|332|74
809266B3D043387971C402EC2DD1E042|332|74
B4C4BABCD240B59B322769D852150C72|382|37
342C4C8E415780994B9D6E0C425631DC|432|37
2E53DF6C8F80EB48545A1B374BE90203|260|24
265A3708E8A794110FD6C3F2F8E35531|360|37
4E0C4D5B8B53A0562487155C98F84FBB|221|24
72C15D171E594B1572FB73EE259F640E|321|74
1916036C68A6F826E1B8975F095FFFAD|346|37
17118492452AD502D125DED63939E6A2|381|37
8C9FAC92A8EE60A2E0BE4B81568509F4|212|24
99F8C94C6A086F120F1D26CA574B1E16|312|74
EB5C4FB397FFB7AE05CB6415A756FFAF|252|74
5FDA5BACD4289669AC77FCE2F757E8ED|262|29
F722DC0362DF2DB95EE3EE5AD96E2F1E|219|30
8C8694ABAAD2F171A7C51B2EB74B2B5C|262|112
CC0B0822256ABBFD354642E3E42887F2|262|0
D2BF40229EEE0EFEE40E71DEFE51A75A|262|24
E6DBEA9AE0CE17765FB44C18AF9D386E|12|48
5AC27D573AB92AF6EC972B91FF2BC06E|272|112
DDEBF032FE76AD1F0BC0764E7709DCFD|272|0
86733B5F3EFF78EB323CD077A9E5CE90|272|24
F0E0A0DB013EF7B1AEFD9919192DF77D|273|30
F7A36D58571CDEB6442AAE3FD74C3951|315|30
4C098C740C02B10094CFD2CFFB955E91|173|58
2A4BD4EFE6ACC78670DB119C4F9B1E93|288|30
551474B6964CB2A76E206B6FC5FBDF1F|317|112
5503742645E5AB5604C962091173084A|317|0
F8FA696EAA9E112FC4AE7686EDEB71EE|317|24
73E914781A399817D4FA25301AD9DD7A|283|150
B95B25004766A9D19F1EC7F8054EE427|218|24
85A950C554AD27E3427339E5A223D260|384|112
80A1EBAFC44BACA9F4BDE300DBB2488D|384|0
011869949755F7EE20901AEDBE9EB8EF|384|24
DB8F8AA1E89F941B354ED16D805B025B|380|30
A713ECB6AA4E138B7B8817F1ABBA8AAF|263|30
364DFFB57536F4A296C6A029663A2810|380|120
7F94DFD49A18300183A9630AF90A38E2|380|120
91E9E93750C1D426EF34E1BEF954EB32|332|24
B53DEBBF9094B968DD80F3089C56286E|432|37
B0C430578242BE7953A42A9C6517FF81|290|24
C69935DD04135FAB83917029F4716CBC|258|24
BAFAAB339E4F25D5529CC71BBE4C0ED8|226|24
FD0C4427407CD95366D0A0E7CDD6327F|332|24
D2F7D8983C7763CE443253C473AF98BB|432|37
DF3A7166741AEC9B98FC9CD2D869047B|332|24
F2D63E95C2CCBA39C24CD0273F17A675|432|37
612F19A1464EEB93F788723CC5196907|384|105
C6631A9933EC283D16CDC4BF950B4B5D|384|0
BC56F73F64952D9B860C9E84C64091E2|384|23
8E3F61136DB90C4A445DF38F185DDF1B|380|29
8C4A878844336713FD6AEB202B678B08|263|30
120AE59C70D9EA58F7E4B5790873D649|288|29
3BB4D7059757F5D8CFAF519F0CA87142|380|119
A098B57A1903B653B3839ED44591D95F|380|119
768C2263E7D1059CDD655051311E343E|218|24
1EEE4488FECD7388C59E7A33A8620954|212|24
261FCE24906063BA6717882A4A91A524|252|74
